LOC,CBO,RFC,WMC,defect
10.0,2,6.0,3.0,0
97.0,4,48.0,25.0,0
212.0,6,69.0,45.0,0
137.0,10,78.0,40.0,0
53.0,11,25.0,15.0,0
21.0,5,9.0,8.0,0
7.0,0,2.0,3.0,0
29.0,2,6.0,17.0,0
128.0,6,64.0,32.0,0
100.0,7,31.0,25.0,1
209.0,26,79.0,62.0,0
254.0,13,116.0,68.0,0
1189.0,34,262.0,166.0,1
24.0,5,8.0,7.0,0
7.0,2,2.0,1.0,1
76.0,4,31.0,22.0,0
166.0,8,69.0,43.0,1
79.0,3,17.0,25.0,0
23.0,3,9.0,6.0,0
312.0,33,150.0,94.0,0
909.0,36,331.0,148.0,1
0.0,0,0.0,0.0,1
235.0,10,70.0,68.0,0
61.0,18,35.0,17.0,0
75.0,4,39.0,19.0,0
849.0,26,230.0,188.0,0
72.0,3,37.0,19.0,0
46.0,3,15.0,9.0,0
75.0,10,31.0,23.0,0
163.0,11,60.0,32.0,0
1892.0,125,632.0,520.0,1
4.0,0,1.0,1.0,0
66.0,3,25.0,22.0,0
3.0,3,2.0,1.0,0
256.0,16,60.0,85.0,1
18.0,2,8.0,4.0,0
44.0,4,21.0,12.0,0
38.0,2,9.0,5.0,0
419.0,33,168.0,79.0,1
44.0,7,21.0,9.0,1
89.0,10,39.0,27.0,0
152.0,12,58.0,36.0,0
54.0,3,32.0,15.0,0
240.0,9,53.0,65.0,1
16.0,3,10.0,5.0,0
2475.0,110,1026.0,489.0,1
70.0,15,40.0,15.0,0
72.0,6,39.0,22.0,0
195.0,15,77.0,51.0,1
257.0,14,117.0,65.0,0
41.0,12,18.0,10.0,0
42.0,3,11.0,10.0,0
85.0,4,16.0,16.0,0
115.0,5,24.0,31.0,0
40.0,5,17.0,10.0,0
231.0,20,79.0,46.0,1
18.0,2,9.0,5.0,0
0.0,2,5.0,0.0,0
606.0,17,306.0,157.0,1
166.0,7,34.0,38.0,1
74.0,15,37.0,19.0,0
110.0,8,58.0,28.0,0
101.0,5,54.0,29.0,0
3.0,1,2.0,1.0,0
549.0,51,243.0,124.0,0
74.0,2,11.0,22.0,0
199.0,25,45.0,52.0,1
38.0,4,15.0,10.0,0
32.0,4,10.0,15.0,0
150.0,11,49.0,48.0,0
4.0,2,2.0,1.0,0
27.0,4,7.0,11.0,0
830.0,69,442.0,216.0,1
162.0,26,61.0,37.0,0
12.0,2,8.0,3.0,0
736.0,18,267.0,292.0,1
89.0,8,45.0,22.0,0
17.0,2,8.0,6.0,0
63.0,5,27.0,17.0,0
34.0,6,14.0,9.0,0
435.0,15,113.0,119.0,0
72.0,3,16.0,18.0,0
1384.0,12,340.0,283.0,0
57.0,6,30.0,18.0,0
13.0,3,4.0,4.0,0
17.0,3,8.0,4.0,0
67.0,12,41.0,19.0,0
281.0,24,150.0,74.0,1
25.0,3,8.0,8.0,0
34.0,4,9.0,11.0,0
141.0,8,78.0,36.0,0
274.0,20,89.0,100.0,1
120.0,21,67.0,34.0,0
1106.0,35,369.0,331.0,1
107.0,6,21.0,34.0,0
21.0,3,11.0,4.0,0
15.0,3,9.0,5.0,0
23.0,2,10.0,5.0,0
107.0,8,53.0,27.0,0
190.0,15,73.0,46.0,0
19.0,2,4.0,3.0,0
24.0,4,8.0,8.0,1
724.0,66,244.0,235.0,1
629.0,38,174.0,150.0,0
244.0,14,91.0,61.0,1
56.0,2,26.0,18.0,0
79.0,3,19.0,11.0,0
71.0,7,24.0,19.0,0
947.0,37,297.0,293.0,1
129.0,9,78.0,33.0,0
281.0,16,78.0,37.0,0
687.0,44,280.0,226.0,1
3.0,2,1.0,1.0,0
3.0,2,1.0,1.0,0
1440.0,24,84.0,342.0,0
11.0,3,5.0,3.0,0
17.0,3,10.0,4.0,0
198.0,11,65.0,66.0,0
3.0,2,1.0,1.0,0
796.0,11,104.0,260.0,0
11.0,1,3.0,3.0,0
308.0,18,118.0,94.0,1
12.0,2,7.0,4.0,0
3.0,0,2.0,1.0,0
48.0,9,27.0,14.0,0
306.0,35,94.0,88.0,1
87.0,7,47.0,29.0,0
347.0,8,105.0,100.0,1
